(base) tsp330@TSP330-PC:~/Pytorch-Handwritten-Mathematical-Expression-Recognition$ python3 Train.py
total words/phones 112
total  8359 batch data loaded
ignore 476 images
total  925 batch data loaded
ignore 61 images
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 1.436%, running_loss is 94.721869
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 43.067%, running_loss is 39.913289
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 44.503%, running_loss is 39.507177
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 45.939%, running_loss is 36.789451
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 47.374%, running_loss is 42.106226
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 48.810%, running_loss is 43.149779
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 50.245%, running_loss is 41.214876
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 51.681%, running_loss is 38.046497
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 53.116%, running_loss is 38.738223
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 54.552%, running_loss is 41.666954
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 55.988%, running_loss is 41.367676
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 57.423%, running_loss is 35.458552
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 58.859%, running_loss is 42.025345
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 60.294%, running_loss is 43.713567
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 61.730%, running_loss is 38.618911
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 63.165%, running_loss is 41.608815
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 64.601%, running_loss is 35.300957
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 66.037%, running_loss is 41.636287
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 67.472%, running_loss is 41.202453
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 68.908%, running_loss is 41.577447
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 70.343%, running_loss is 38.407452
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 71.779%, running_loss is 41.729810
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 73.214%, running_loss is 41.374527
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 74.650%, running_loss is 38.955066
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 76.086%, running_loss is 42.341697
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 77.521%, running_loss is 40.064879
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 78.957%, running_loss is 42.120966
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 80.392%, running_loss is 39.274930
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 81.828%, running_loss is 41.156684
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 83.264%, running_loss is 38.171416
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 84.699%, running_loss is 37.309767
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 86.135%, running_loss is 43.409844
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 87.570%, running_loss is 39.812355
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 89.006%, running_loss is 33.843596
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 90.441%, running_loss is 37.213173
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 91.877%, running_loss is 37.335369
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 93.313%, running_loss is 42.044364
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 94.748%, running_loss is 38.979407
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 96.184%, running_loss is 37.054442
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 97.619%, running_loss is 37.490860
epoch is 0, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 99.055%, running_loss is 39.506484
epoch is 0, the whole loss is 43.010343
Now, begin testing!!
total_line_rec is 0
wer is 0.72283
sacc is 0.00000
whole loss is 0.00000
the best is 0.000000
the loss is bigger than before,so do not save the model
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 1.436%, running_loss is 35.182980
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 2.871%, running_loss is 37.346972
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 4.307%, running_loss is 33.670461
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 5.742%, running_loss is 38.168075
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 7.178%, running_loss is 35.976089
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 8.613%, running_loss is 37.660040
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 10.049%, running_loss is 33.641853
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 11.485%, running_loss is 39.139164
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 12.920%, running_loss is 36.134322
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 14.356%, running_loss is 34.983476
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 15.791%, running_loss is 36.758487
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 17.227%, running_loss is 36.078712
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 18.663%, running_loss is 39.893317
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 20.098%, running_loss is 35.286845
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 21.534%, running_loss is 37.958460
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 22.969%, running_loss is 34.266555
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 24.405%, running_loss is 39.628861
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 25.840%, running_loss is 36.202296
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 27.276%, running_loss is 38.694392
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 28.712%, running_loss is 37.601473
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 30.147%, running_loss is 36.945345
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 31.583%, running_loss is 37.013393
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 33.018%, running_loss is 36.330742
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 34.454%, running_loss is 40.503306
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 35.889%, running_loss is 38.148486
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 37.325%, running_loss is 33.064741
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 38.761%, running_loss is 34.441591
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 40.196%, running_loss is 33.474551
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 41.632%, running_loss is 33.502669
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 43.067%, running_loss is 38.048386
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 44.503%, running_loss is 36.452246
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 45.939%, running_loss is 37.985778
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 47.374%, running_loss is 29.881156
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 48.810%, running_loss is 37.044212
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 50.245%, running_loss is 35.935749
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 51.681%, running_loss is 35.115062
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 53.116%, running_loss is 37.162557
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 54.552%, running_loss is 36.375978
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 55.988%, running_loss is 36.406446
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 57.423%, running_loss is 35.462533
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 58.859%, running_loss is 35.752765
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 60.294%, running_loss is 34.889760
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 61.730%, running_loss is 33.775132
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 63.165%, running_loss is 38.443111
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 64.601%, running_loss is 37.083984
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 66.037%, running_loss is 32.727612
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 67.472%, running_loss is 35.107655
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 68.908%, running_loss is 33.515523
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 70.343%, running_loss is 33.142608
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 71.779%, running_loss is 36.607941
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 73.214%, running_loss is 35.808271
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 74.650%, running_loss is 35.044691
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 76.086%, running_loss is 34.700668
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 77.521%, running_loss is 37.473780
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 78.957%, running_loss is 39.013569
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 80.392%, running_loss is 35.332579
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 81.828%, running_loss is 34.701677
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 83.264%, running_loss is 33.858596
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 84.699%, running_loss is 34.910397
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 86.135%, running_loss is 35.309497
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 87.570%, running_loss is 35.481313
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 89.006%, running_loss is 34.171977
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 90.441%, running_loss is 32.227091
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 91.877%, running_loss is 34.856978
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 93.313%, running_loss is 34.341492
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 94.748%, running_loss is 36.580510
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 96.184%, running_loss is 35.908086
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 97.619%, running_loss is 34.278881
epoch is 1, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 99.055%, running_loss is 35.686263
epoch is 1, the whole loss is 35.520519
Now, begin testing!!
total_line_rec is 0
wer is 0.71078
sacc is 0.00000
whole loss is 0.00000
the best is 0.000000
the loss is bigger than before,so do not save the model
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 1.436%, running_loss is 33.666201
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 2.871%, running_loss is 30.807685
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 4.307%, running_loss is 35.957952
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 5.742%, running_loss is 35.197304
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 7.178%, running_loss is 34.406125
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 8.613%, running_loss is 30.733879
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 10.049%, running_loss is 32.525492
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 11.485%, running_loss is 33.032377
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 12.920%, running_loss is 29.941426
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 14.356%, running_loss is 35.284605
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 15.791%, running_loss is 37.369885
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 17.227%, running_loss is 33.578926
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 18.663%, running_loss is 34.891101
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 20.098%, running_loss is 34.990594
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 21.534%, running_loss is 33.040425
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 22.969%, running_loss is 28.564231
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 24.405%, running_loss is 35.403273
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 25.840%, running_loss is 31.439608
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 27.276%, running_loss is 35.129118
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 28.712%, running_loss is 34.892180
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 30.147%, running_loss is 34.276578
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 31.583%, running_loss is 30.726939
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 33.018%, running_loss is 30.830356
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 34.454%, running_loss is 32.409644
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 35.889%, running_loss is 30.858906
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 37.325%, running_loss is 35.193517
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 38.761%, running_loss is 30.330165
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 40.196%, running_loss is 34.632669
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 41.632%, running_loss is 31.108463
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 43.067%, running_loss is 35.477196
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 44.503%, running_loss is 32.397061
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 45.939%, running_loss is 29.586271
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 47.374%, running_loss is 32.988449
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 48.810%, running_loss is 34.523211
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 50.245%, running_loss is 30.826044
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 51.681%, running_loss is 29.456906
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 53.116%, running_loss is 32.441450
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 54.552%, running_loss is 33.251255
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 55.988%, running_loss is 30.630533
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 57.423%, running_loss is 30.447706
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 58.859%, running_loss is 31.886752
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 60.294%, running_loss is 31.513794
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 61.730%, running_loss is 34.329151
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 63.165%, running_loss is 32.916432
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 64.601%, running_loss is 30.462160
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 66.037%, running_loss is 28.342237
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 67.472%, running_loss is 34.880499
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 68.908%, running_loss is 34.830080
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 70.343%, running_loss is 30.025352
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 71.779%, running_loss is 32.011415
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 73.214%, running_loss is 31.499888
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 74.650%, running_loss is 31.793648
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 76.086%, running_loss is 29.407966
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 77.521%, running_loss is 28.927426
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 78.957%, running_loss is 29.091864
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 80.392%, running_loss is 29.258524
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 81.828%, running_loss is 29.571158
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 83.264%, running_loss is 30.393391
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 84.699%, running_loss is 31.714408
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 86.135%, running_loss is 27.871182
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 87.570%, running_loss is 30.122394
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 89.006%, running_loss is 30.962031
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 90.441%, running_loss is 31.939195
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 91.877%, running_loss is 32.023127
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 93.313%, running_loss is 27.138786
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 94.748%, running_loss is 28.182466
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 96.184%, running_loss is 30.908896
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 97.619%, running_loss is 28.078078
epoch is 2, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 99.055%, running_loss is 29.200486
epoch is 2, the whole loss is 31.619024
Now, begin testing!!
total_line_rec is 1
wer is 0.79955
sacc is 0.00108
whole loss is 0.00000
0.0010822510822510823
saving the model....
encoder_lr0.00010_GN_te1_d05_SGD_bs6_mask_conv_bn_b_xavier.pkl
done
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 1.436%, running_loss is 27.473339
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 2.871%, running_loss is 30.241621
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 4.307%, running_loss is 27.101297
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 5.742%, running_loss is 31.740762
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 7.178%, running_loss is 32.286181
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 8.613%, running_loss is 30.700654
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 10.049%, running_loss is 28.750541
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 11.485%, running_loss is 30.188653
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 12.920%, running_loss is 28.112792
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 14.356%, running_loss is 30.352036
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 15.791%, running_loss is 30.881142
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 17.227%, running_loss is 30.272635
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 18.663%, running_loss is 29.521175
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 20.098%, running_loss is 32.916891
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 21.534%, running_loss is 25.458700
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 22.969%, running_loss is 30.916686
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 24.405%, running_loss is 26.582125
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 25.840%, running_loss is 29.734787
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 27.276%, running_loss is 25.754092
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 28.712%, running_loss is 27.218823
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 30.147%, running_loss is 29.265376
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 31.583%, running_loss is 27.643235
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 33.018%, running_loss is 29.611036
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 34.454%, running_loss is 30.287912
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 35.889%, running_loss is 28.549540
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 37.325%, running_loss is 27.010709
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 38.761%, running_loss is 27.946805
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 40.196%, running_loss is 30.050265
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 41.632%, running_loss is 26.094938
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 43.067%, running_loss is 29.662348
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 44.503%, running_loss is 30.741450
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 45.939%, running_loss is 24.927253
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 47.374%, running_loss is 26.011595
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 48.810%, running_loss is 30.158820
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 50.245%, running_loss is 26.184267
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 51.681%, running_loss is 29.730874
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 53.116%, running_loss is 24.500345
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 54.552%, running_loss is 24.713115
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 55.988%, running_loss is 27.978708
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 57.423%, running_loss is 30.129995
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 58.859%, running_loss is 24.739570
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 60.294%, running_loss is 25.641486
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 61.730%, running_loss is 28.352015
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 63.165%, running_loss is 29.054597
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 64.601%, running_loss is 25.036032
epoch is 3, lr rate is 0.00010, te is 1.000, batch_size is 6, loading for 66.037%, running_loss is 28.888507
